id,Project Name,Subtype,Current Status,Capacity (MW),Year of Completion,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,Tributary,Latitude,Longitude,Proximity,Avg. Annual Output (MWh),Data Source,Announcement/More Information,Link,Latest Update
183,Chulabhorn Downstream Hydropower Project,Hydro,Under Construction,1.25,2018.0,Thailand,EGAT (Thailand),,,,,Thailand,Chaiyaphum,Khon San,Mun-Chi,16.53627,101.65,,,Electricity Generating Authority of Thailand,,,
184,Chumphon power stations,Biomass,Operational,,,,,,,,,Thailand,Chumphon,Sawi,Nam Sawi,10.35,99.06,"Actual location unknown, currently sited at locality in link/announcement",,Wikipedia,,,
185,Chumphon Solar Power Plant,Solar,Operational,1.0,,Thailand,Thai Solar Energy Public Company Limited (TSE),,,,,Thailand,Chumphon,Muang Chumphon,Phanang Tak,10.5032,99.1452,,1333.654,World Resources Institute,http://www.thaisolarenergy.com/project.php?menu=future_projects,,
186,Chumporn applied biogas technology for advanced waste water management,Waste,Unknown,,,Thailand,Chumporn Palm Oil Public Co. Ltd.,,,Germany,Deutsche Gesellschaft fur Internationale Zusammenarbeit,Thailand,Chumphon,Pathiu,Coastal Rivers Prachuap Khiri Khan-Chumphon,10.77534,99.35445,,,UNFCCC,Biogas from wastewater from palm oil production,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1218620986.14/view,
187,Clean Energy One Biomass Power Plant Project,Biomass,Unknown,9.4,,Thailand; Switzerland,Clean Energy Thapsakae Ltd.; Swiss Carbon Assets Ltd.,,,,,Thailand,Prachuap Khiri Khan,Thap Sakae,Coastal Rivers Prachuap Khiri Khan-Chumphon,11.60472,99.64972,,,UNFCCC,Coconut residue (fiber and fronds),https://cdm.unfccc.int/Projects/DB/SQS1333446298.96/view,
188,CMX Renewable Energy Vietnam (Nhà máy điện mặt trời CMX),Solar,Operational,168.0,2019.0,Singapore; Canada,"Sunseap, InfraCo Asia, CMX Renewable Energy Canada",,,,,Vietnam,Ninh Thuận,Ninh Sơn,Song Cai Phan Rang,11.67833,108.8639,"Actual location unknown, currently sited at locality in link/announcement",,Stimson database,"The solar farm will be the largest in the country to-date
https://www.pv-magazine.com/press-releases/sunseap-receives-approval-for-us150-million-solar-farm-largest-in-vietnam/ https://www.pv-tech.org/news/sunseap-jv-gets-green-light-for-168mw-solar-proje",http://nangluongsachvietnam.vn/d6/vi-VN/news/Du-an-dien-mat-troi-lon-nhat-Viet-Nam-di-vao-hoat-dong-truoc-ke-hoach--6-165-4280,
189,Coc Ly,Hydro,Operational,90.0,2012.0,Vietnam,Bac Ha Hydropower Company,,,,,Vietnam,Lai Châu,Nậm Nhùn,Black-Li Xian,22.2985,103.1613,,378000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/coc-ly-Hydropower,,
190,Coc San,Hydro,Operational,30.0,2016.0,Vietnam,Colben Energy JSC.,,,,,Vietnam,Lào Cai,Sa Pa,Red Mainstem and Delta,22.4144,103.9066,,120000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/coc-san-Hydropower,,
191,Colben Energy Phnom Penh,Oil,Operational,20.0,2006.0,Singapore,Asiatic Group (Holdings) Ltd.,,,,,Cambodia,Phnom Penh,Ruessei Kaev,Mekong Mainstrem - Lower Tonle Sap,11.6095533560347,104.908383959993,,,Sponsor Website,,https://www.asiatic.com.sg/our-businesses/energy/phnom-penh-power-plant.html,05/19/2021
192,Conergy Suphanburi Solar Plant,Solar,Operational,11.0,2014.0,Germany,Conergy Group (Germany),,,,,Thailand,Kanchanaburi,Bo Phloi,Huai Lam Ta Phoen,14.25738,99.47127,"Actual location unknown, currently sited at locality in link/announcement",,World Bank,,,
193,Cong Hai (nhà máy điện gió Công Hải 1),Wind,Unknown,25.0,,Vietnam,"Công ty Công nghiệp Sài Gòn, Tổng Công ty Phát điện 2 và Công ty CP Kinh doanh điện lực TPHCM (Vietnam)",,,,,Vietnam,Ninh Thuận,Thuận Bắc,Coastal Tributaries Khanh Hoa-Ninh Thuan,11.80446,109.18,"Actual location unknown, currently sited at locality in link/announcement",,EVN,,,
194,Cong Ly Soc Trang 1 (Điện gió Công Lý Sóc Trăng),Wind,Under Construction,30.0,2019.0,Vietnam,Công ty cổ phần Super Wind Energy Công Lý Sóc Trăng (Vietnam),,,,,Vietnam,Sóc Trăng,Vĩnh Châu,Vietnam Mekong Delta,9.283664,105.8433,"Actual location unknown, currently sited at locality in link/announcement",,Wikipedia,https://vietnamnews.vn/economy/422281/first-wind-power-plant-in-soc-trang-launched.html#uFMxXTS6od8k1Kmp.97,,
195,Cong Ly Soc Trang 2 (Điện gió Công Lý Sóc Trăng),Wind,Under Construction,30.0,2019.0,Vietnam,Công ty cổ phần Super Wind Energy Công Lý Sóc Trăng (Vietnam),,,,,Vietnam,Sóc Trăng,Vĩnh Châu,Vietnam Mekong Delta,9.283664,105.8433,"Actual location unknown, currently sited at locality in link/announcement",,Wikipedia,https://vi.wikipedia.org/wiki/%C4%90i%E1%BB%87n_gi%C3%B3_C%C3%B4ng_L%C3%BD_S%C3%B3c_Tr%C4%83ng,,
196,Cong Ly Soc Trang 3 (Điện gió Công Lý Sóc Trăng),Wind,Under Construction,38.0,2019.0,Vietnam,Công ty cổ phần Super Wind Energy Công Lý Sóc Trăng (Vietnam),,,,,Vietnam,Sóc Trăng,Vĩnh Châu,Vietnam Mekong Delta,9.283664,105.8433,"Actual location unknown, currently sited at locality in link/announcement",,Wikipedia,,,
197,Cong thanh Power Station (Nhiệt điện Công Thanh),Coal,Planned,600.0,2024.0,Vietnam,Cong Thanh Group (Vietnam),Vietnam,Commercial Bank of Vietnam & Bank for Foreign Trade (Vietnam),,,Vietnam,Thanh Hóa,Tĩnh Gia,"Vietnam Coastal Rivers Thanh Hoa, Nghe An",19.35429,105.7673,,,Sourcewatch,https://www.sourcewatch.org/index.php/Cong_Thanh_power_station,,
198,Cu Jut Solar Plant (Nhà máy điện mặt trời Cư Jút),Solar,Operational,50.0,2019.0,Vietnam,CTCP Thủy Điện Miền Trung,,,,,Vietnam,Đắk Nông,Cư Jút,Srepok,12.60748,107.9264,,94710,Dan Toc Mien Nui,https://dantocmiennui.vn/doi-song/dak-nong-phat-trien-du-an-dien-mat-troi/236818.html; https://nld.com.vn/kinh-te/nha-may-dien-mat-troi-cu-jut-chinh-thuc-phat-dien-thuong-mai-20190421214630566.htm,,
199,Cua Dat,Hydro,Operational,97.0,2010.0,Vietnam,Thac Mo Hydropower JSC (Vietnam); Vinaconex P&C JSC,,,,,Vietnam,Thanh Hóa,Thường Xuân,Nam Sam (Laos) - Chu (Vietnam),19.88667,105.2747,,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf,,
200,CUP-1,Gas,Operational,226.0,2006.0,Thailand,GPSC (Global Power Synergy Corp),,,,,Thailand,Rayong,Muang Rayong,Coastal Rivers Rayong Chon Buri,12.7014,101.1258,,933446.6,Sponsor Website,,https://www.gpscgroup.com/en/business/project/8/central-utility-plant-1-cup-1,12/28/2020
201,CUP-2,Gas,Operational,113.0,2008.0,Thailand,GPSC (Global Power Synergy Corp),,,,,Thailand,Rayong,Muang Rayong,Coastal Rivers Rayong Chon Buri,12.7547,101.1637,,466723.3,Sponsor Website,,https://www.gpscgroup.com/en/business/project/153/central-utility-plant-2-cup-2,12/28/2020
202,CYY Biopower Wastewater treatment plant,Waste,Unknown,2.72,,Thailand,CYY Biopower Co. Ltd.,,,Switzerland; Austria,South Pole Carbon Asset Management Ltd (Switzerland)' Kommunalkredit Public Consulting GmbH (Austria),Thailand,Nakhon Ratchasima,Kham Thala So,Mun-Chi,14.99861,101.9117,,,UNFCCC,Biogas from wastewater,https://cdm.unfccc.int/Projects/DB/RWTUV1218617500.62/view,
203,Da Dang 2,Hydro,Operational,34.0,2010.0,Vietnam,Southern Hydropower JSC (Vietnam),,,,,Vietnam,Lâm Đồng,Lâm Hà,Dong Nai,11.72444,108.2469,,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf; https://data.opendevelopmentmekong.net/vi/library_record/da-dang-2-Hydropower,,
204,Da Kai,Hydro,Operational,6.0,,Vietnam,Nghia Gia Development Company Limited,,,,,Vietnam,Lâm Đồng,Lạc Dương,Dong Nai,12.0838,108.5953,,25000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/da-kai-Hydropower,,
205,Da Mi 1 (Nhà máy điện mặt trời nổi hồ Đa Mi),Solar,Operational,47.5,2020.0,Vietnam,DHD (Công ty Cổ phần Thủy điện Đa Nhim - Hàm Thuận - Đa Mi (EVN - Phát Điện 1 subsidiary)),,,,,Vietnam,Bình Thuận,Tánh Linh,Dong Nai,11.25119,107.8372,,70000,Sponsor Website,https://www.evn.com.vn/d6/news/Nha-may-Dien-mat-troi-noi-ho-Da-Mi-hoa-luoi-thanh-cong-141-17-23656.aspx,,
206,Da Nhim Thuong 2,Hydro,Operational,7.5,2010.0,Vietnam,Thai Bao Production Trading Services and Investment Consultancy JSC.,,,,,Vietnam,Lâm Đồng,Lạc Dương,Dong Nai,12.1161,108.5852,,32000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/da-nhim-thuong-Hydropower,,
207,Dac Me,Hydro,Operational,5.0,2011.0,Vietnam,Dak Me Hydro Power JSC.,,,,,Vietnam,Lâm Đồng,Đam Rông,Srepok,12.1333,108.313,,25000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dac-me-Hydropower,,
208,Dachaoshan,Hydro,Operational,1250.0,2003.0,China,Yunnan Dachaoshan Hydropower Company Ltd,China,,China,China Huaneng Group; PowerChina,China,Yunnan,Lincang,Mekong Mainstem - China,24.02664,100.3687,,,RCC Dams,,http://www.chinawater.net.cn/icold2000/st-a5-01.html,
209,Dachunhe,Hydro,Operational,30.0,2011.0,China,,China,,China,,China,Yunnan,Yuxi,Red Mainstem and Delta,24.17436,101.5235,,,Global Power Plants Database,,https://baike.baidu.com/item/%E5%A4%A7%E6%98%A5%E6%B2%B3%E6%A2%AF%E7%BA%A7%E6%B0%B4%E7%94%B5%E7%AB%99/4434806#3,
210,Dachunhe 2,Hydro,Operational,20.0,2012.0,China,,China,,China,,China,Yunnan,Yuxi,Red Mainstem and Delta,24.17001,101.5246,,,Global Power Plants Database,,https://baike.baidu.com/item/%E5%A4%A7%E6%98%A5%E6%B2%B3%E6%A2%AF%E7%BA%A7%E6%B0%B4%E7%94%B5%E7%AB%99/4434806#4,
211,Dahuaqiao,Hydro,Operational,900.0,2018.0,China,‎Huaneng Lancang Hydropower Co Ltd,China,,China,China Huaneng Group; PowerChina,China,Yunnan,Nujiang Lisu,Mekong Mainstem - China,26.30841,99.13901,,,RCC Dams,,https://en.wikipedia.org/wiki/Dahuaqiao_Dam,
212,Dai Nga,Hydro,Operational,10.0,2015.0,Vietnam,Thac Mo Hydropower JSC.,,,,,Vietnam,Lâm Đồng,Bảo Lâm,Dong Nai,11.4219,107.8754,,44000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dai-nga-Hydropower,,
213,Dai Ninh,Hydro,Operational,300.0,2008.0,Vietnam,EVN,Japan,JICA,Japan,"Kajima, Kumagi, Hazama",Vietnam,Lâm Đồng,Đức Trọng,Dong Nai,11.65111,108.3194,,,Wikipedia,https://www.power-technology.com/projects/dai-nanh/; https://data.mendeley.com/datasets/ht9k5p3vdb/1; https://www2.jica.go.jp/yen_loan/pdf/en/5269/20040331-53.pdf,,03/31/2021
214,Dak Doa,Hydro,Operational,14.0,2010.0,Vietnam,Dak Doa Hydropower JSC.,,,,,Vietnam,Gia Lai,Đăk Đoa,Sesan,14.1847,108.1064,,56300,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-doa-Hydropower,,
215,Dak Drinh,Hydro,Operational,125.0,2014.0,Vietnam,Dak Drinh Hydropower JSC; PVN (Vietnam),,,,,Vietnam,Quảng Ngãi,Sơn Tây,Song Tra Khuc,14.98,108.3031,,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf; https://data.opendevelopmentmekong.net/vi/library_record/dak-drinh-Hydropower,,
216,Dak E Meule,Hydro,Operational,105.0,2018.0,,,,,,,Laos,Xékong,Lamarm,Sekong,15.55486,107.0716,,,WLE Mekong,https://wle-mekong.cgiar.org,,
217,Dak Glun,Hydro,Operational,18.0,2011.0,Vietnam,Sai Gon Accessories JSC,,,,,Vietnam,Bình Phước,Bù Gia Mập,Dong Nai,12.0252,107.1834,,76000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-glun-Hydropower,,
218,Dak Lay,Hydro,Operational,3.2,2015.0,Vietnam,Dak Lay Hydropower Co. Ltd,,,,,Vietnam,Kon Tum,Tu Mơ Rông,Sesan,14.7979,108.0074,,13000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-lay-Hydropower,,
219,Dak Lo,Hydro,Operational,22.0,2016.0,Vietnam,Dak Lo- Song Da 3 JSC,,,,,Vietnam,Kon Tum,Kon Plông,Song Tra Khuc,14.7275,108.3694,,93200,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-lo-Hydropower,,
220,Dak Mi 3 (Nhà máy thủy điện Đăk Mi 3),Hydro,Operational,56.0,2016.0,Vietnam,Vietnam Urban and Industrial Zone Development Investment Corporation (IDICO),Vietnam; Switzerland,Vietnam Bank for Agriculture and Rural Development (Agribank); Ecotawa AG,,,Vietnam,Quảng Nam,Phước Sơn,Song Giang,15.33838,107.8338,,220500,"Vietnam Electricity, UNFCC","https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf
https://cdm.unfccc.int/Projects/DB/SQS1348230197.7/view",,
221,Dak Mi 4 (Nhà máy thủy điện Đăk Mi 4),Hydro,Operational,148.0,2012.0,Vietnam,"IDICO (Vietnam), Bitexco (Vietnam)",Vietnam,Vietnam Bank for Agriculture and Rural Development (Agribank - 56m); Bank for Investment and Development of Vietnam (BIDV - 37m); PetroVietnam Finance Corp. (31m); foreign sources (50m),Vietnam,"IDICO General Construction Contractor, PECC2 (Power Engineering Consulting Company Nº2)",Vietnam,Quảng Nam,Phước Sơn,Song Giang,15.45379,107.8322,,752510,Vietnam Electricity,"https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf
https://cdm.unfccc.int/Projects/DB/SQS1309870743.56/view",,
222,Dak Mi 4c,Hydro,Operational,18.0,2012.0,Vietnam,"IDICO (Vietnam), Bitexco (Vietnam)",,,,,Vietnam,Quảng Nam,Phước Sơn,Song Thu Bon Mainstem,15.4425,107.8922,,69000,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf,,
223,Dak Mi-1,Hydro,Cancelled,215.0,,Vietnam,Cavuci Energy Development Investment Co.,,,Vietnam,Quang Duc Kon Tum JSC,Vietnam,Kon Tum,Đắk Glei,Song Giang,15.1831756683395,107.803337743876,,217642,Boston University,,https://data.mendeley.com/datasets/ht9k5p3vdb/1,03/31/2021
224,Dak N'teng,Hydro,Operational,13.0,2011.0,Vietnam,Me Kong Hydro Power Limited Liability Company,,,,,Vietnam,Đắk Nông,Đăk Glong,Srepok,12.1958,107.9268,,53000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-nteng-Hydropower,,
225,Dak Ne,Hydro,Operational,8.1,2010.0,Vietnam,Tan Phat JSC.,,,,,Vietnam,Kon Tum,Kon Rẫy,Sesan,14.5281,108.2191,,60000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-ne-Hydropower,,
226,Dak Nong 2,Hydro,Operational,16.0,2016.0,Vietnam,Viet Nguyen Construction JSC.,,,,,Vietnam,Đắk Nông,Gia Nghĩa,Dong Nai,11.9645,107.6675,,65000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-nong-2-Hydropower,,
227,Dak Pia,Hydro,Operational,2.2,2012.0,Vietnam,Trung Viet Co. Ltd.,,,,,Vietnam,Kon Tum,Kon Rẫy,Sesan,14.6651,108.1593,,11400,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-pia-Hydropower,,
228,Dak Po Ne,Hydro,Operational,15.6,2009.0,Vietnam,PC 3 Investment JSC.,,,,,Vietnam,Kon Tum,Kon Plông,Sesan,14.5759,108.3049,,69100,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-po-ne-Hydropower,,
229,Dak Po ne 2,Hydro,Operational,3.6,2008.0,Vietnam,Gia Nghi Co. Ltd,,,,,Vietnam,Kon Tum,Kon Rẫy,Sesan,14.526,108.2992,,15780,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-po-ne-2-Hydropower,,
230,Dak Psi 3,Hydro,Operational,15.0,2012.0,Vietnam,Dak Psi Hydro Power Investment and Development JSC,,,,,Vietnam,Kon Tum,Đắk Hà,Sesan,14.6613,107.9367,,60000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-psi-3,,
231,Dak Psi 4,Hydro,Operational,30.0,2010.0,Vietnam,Dak Psi Hydro Power Investment and Development JSC,,,,,Vietnam,Kon Tum,Tu Mơ Rông,Sesan,14.7684,108.0027,,115000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-psi-4-Hydropower,,
232,Dak R'Tih,Hydro,Operational,144.0,2011.0,Vietnam,Construction Corporation No.1 Company Limited,,,,,Vietnam,Đắk Nông,Gia Nghĩa,Dong Nai,11.9902,107.6597,,636800,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-rtih-Hydropower,,
233,Dak Ro Sa,Hydro,Operational,7.5,2007.0,Vietnam,Mien Trung Construction Corporation,,,,,Vietnam,Kon Tum,Đắk Tô,Sesan,14.7473,107.8358,,143000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-ro-sa-Hydropower,,
234,Dak Ro Sa 2,Hydro,Operational,2.4,2012.0,Vietnam,Dak Ro Sa Hydropower JSC,,,,,Vietnam,Kon Tum,Đắk Tô,Sesan,14.7135,107.8211,,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-ro-sa-2-Hydropower,,
235,Dak Ru,Hydro,Operational,7.5,2008.0,Vietnam,N&S Limited Liability Company,,,,,Vietnam,Đắk Nông,Tuy Đức,Dong Nai,11.9522,107.4042,,40000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-ru-Hydropower,,
236,Dak Rung 1,Hydro,Operational,6.0,2010.0,Vietnam,"Binh Minh Company, Ltd.",,,,,Vietnam,Đắk Nông,Đắk Song,Dong Nai,12.1139,107.6336,,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-rung-1-Hydropower,,
237,Dak Sin 1,Hydro,Operational,28.0,2015.0,Vietnam,VRG Dak Nong JSC. - Vietnam Rubber Group,,,,,Vietnam,Đắk Nông,Đắk R'Lấp,Dong Nai,11.8186,107.459,,105000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-sin-1-Hydropower,,
238,Dak Srong,Hydro,Operational,18.0,2010.0,Vietnam,Dak Srong JSC.,,,,,Vietnam,Gia Lai,Kông Chro,Song Da Rang-Song Ba,13.7659,108.5236,,68000,Open Development Vietnam,https://vietnam.opendevelopmentmekong.net/dataset/?id=danh-sach-cac-th-y-di-n-t-i-vi-t-nam-tinh-d-n-thang-06-2016&search_query=P3BhZ2U9Mg==,,
239,Dak Srong 2,Hydro,Operational,24.0,2010.0,Vietnam,Hoang Anh Gia Lai JSC.,,,,,Vietnam,Gia Lai,Kông Chro,Song Da Rang-Song Ba,13.6786,108.5649,,85800,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-srong-2-Hydropower,,
240,Dak Srong 3A,Hydro,Operational,10.0,2014.0,Vietnam,Hoang Anh Gia Lai JSC.,,,,,Vietnam,Gia Lai,Krông Pa,Song Da Rang-Song Ba,13.3473,108.5323,,37000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-srong-3a-Hydropower,,
241,Dak Srong 3B,Hydro,Operational,20.0,2012.0,Vietnam,Hoang Anh Gia Lai JSC.,,,,,Vietnam,Gia Lai,Krông Pa,Song Da Rang-Song Ba,13.3381,108.5587,,75000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-srong-3b-Hydropower,,
242,Dam Nai (Nhà máy điện gió Đầm Nại),Wind,Operational,40.0,2018.0,Singapore; Vietnam,"The Blue Circle (Singapore), Công ty cổ phần TSV",,,Spain,Siemens Gamesa Renewable Energy (Spain) Công ty Năng lượng Tái tạo Siemens Gamesa,Vietnam,Ninh Thuận,Thuận Bắc,Coastal Tributaries Khanh Hoa-Ninh Thuan,11.66977,109.0586,,110000,Stimson database,"http://www.thebluecircle.sg/dam-nai-wind-project, https://renewablesnow.com/news/blue-circle-gets-nod-for-40-mw-wind-project-in-vietnam-534021/",,
243,Dam'Bri,Hydro,Operational,75.0,2014.0,Vietnam,Southern Hydropower JSC.,,,,,Vietnam,Lâm Đồng,Bảo Lâm,Dong Nai,11.5827,107.6726,,338000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/dataset/da-mbri-Hydropower,,
244,Dapein 1 (Dapeyin / Tarpain),Hydro,Operational,240.0,2011.0,China; Myanmar,"MEPE, Datang",China,China EXIM,China,"Datang, United Hydropower Developing Co Ltd",Myanmar,Kachin,Bhamo,Taping,24.42145,97.52545,,1065000,World Bank,http://ens-newswire.com/2011/06/15/fighting-erupts-over-chinese-hydropower-dams-in-burma/; https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+Database+WB-IFC.xlsx?MOD=AJPERES,http://documents1.worldbank.org/curated/en/857971548867615099/pdf/134197-WP-MM-V2-SEA-Baseline-Assessment-Hydropower-PUBLIC.pdf,03/31/2021
245,Dapein 2 (Dapeyin / Tarpain),Hydro,Planned,140.0,2022.0,China; Myanmar,"MoEE, United Hydropower Developing Co.",China,China EXIM,China,Datang,Myanmar,Kachin,Bhamo,Taping,24.36827,97.4214,,642000,World Bank,https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+Database+WB-IFC.xlsx?MOD=AJPERES; https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+; https://reconnectingasia.csis.org/database/projects/dapein-2/ad077a04-a18a-4f63-b24d-bb12b9dbdda2/,http://documents1.worldbank.org/curated/en/857971548867615099/pdf/134197-WP-MM-V2-SEA-Baseline-Assessment-Hydropower-PUBLIC.pdf,03/31/2021
246,Dau Tieng Solar Power Plant 1 (Nhà máy điện mặt trời Dầu Tiếng 1),Solar,Operational,150.0,2019.0,Vietnam; Thailand,Dầu Tiếng Tây Ninh Energy (a JV between B Grimm Power Public CL (Thailand); Xuân Cầu Company Ltd  (Vietnam)(BOT)),,,China,"Sinhydro Corp. Ltd. (EPC), ChinaPower HuaDong Engineering Corp. (EPC); Jinkosolar (supplier) (China)",Vietnam,Tây Ninh,Dương Minh Châu,Song Saigon,11.45169,106.2302,,688000,Heritage Foundation,June 2018; http://taiyangnews.info/business/powerchina-to-install-420-mw-vietnam-project/; http://taiyangnews.info/uncategorized/jinko-modules-for-420-mw-vietnam-project/,https://e.vnexpress.net/news/news/southeast-asia-s-largest-solar-farm-begins-operations-in-southern-vietnam-3979068.html,
247,Dau Tieng Solar Power Plant 2 (Nhà máy điện mặt trời Dầu Tiếng 2),Solar,Operational,200.0,2019.0,Vietnam; Thailand,Dầu Tiếng Tây Ninh Energy (a JV between B Grimm Power Public CL (Thailand); Xuân Cầu Company Ltd  (Vietnam)(BOT)),,,China,"Sinhydro Corp. Ltd. (EPC), ChinaPower HuaDong Engineering Corp. (EPC); Jinkosolar (supplier) (China)",Vietnam,Tây Ninh,Dương Minh Châu,Song Saigon,11.44895,106.2328,,,,,,
248,Dau Tieng Solar Power Plant 3 (Nhà máy điện mặt trời Dầu Tiếng 3),Solar,Planned,150.0,2020.0,Vietnam; Thailand,Dầu Tiếng Tây Ninh Energy (a JV between B Grimm Power Public CL (Thailand); Xuân Cầu Company Ltd  (Vietnam)(BOT)),,,China,"Sinhydro Corp. Ltd. (EPC), ChinaPower HuaDong Engineering Corp. (EPC); Jinkosolar (supplier) (China)",Vietnam,Tây Ninh,Tân Châu,Song Saigon,11.46991,106.2002,,,,,,
249,Dawei,Coal,Cancelled,4000.0,,Thailand,Italian-Thai Development Public Company (Thailand),,,,,Myanmar,Tanintharyi,Dawei,Dawei,14.0833,98.2,"Actual location unknown, currently sited at locality in link/announcement",,Global Energy Monitor,https://www.sourcewatch.org/index.php/Dawei_power_station; https://www.reuters.com/article/myanmar-dawei/myanmar-scraps-coal-fired-power-plant-at-dawei-idUSL3E8CA1ER20120110,,
250,Decha Bio Green Co. Ltd,Biomass,Unknown,7.5,2009.0,Thailand; United Kingdom,"Decha Bio Green Co, Ltd.; EDF Trading Ltd. (EDFT)",,,,,Thailand,Suphan Buri,Bang Pla Ma,Tha Chin,14.29771,100.2264,,,UNFCCC,Rice husk,https://cdm.unfccc.int/Projects/DB/RWTUV1251209528.4/view,
251,Deedoke (Deedote),Hydro,Under Construction,66.0,,Austria; Japan; Myanmar,"Andritz Hydro GmbH, Kansai Electric Power Co., Shwe Taung Group",,,,,Myanmar,Mandalay,Kyaukse,Myitnge,21.68723,96.40446,,,Myanmar Institute for Peace and Security,https://frontiermyanmar.net/en/hydropower-is-back,,
252,Dinh Binh,Hydro,Operational,9.9,2008.0,Vietnam,Dinh Binh Hydropower JSC,,,,,Vietnam,Bình Định,Vĩnh Thạnh,Kon,14.1565,108.7727,,45000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dinh-binh-Hydropower,,
253,Distributed Commercial Solar Power Project,Solar,Under Construction,100.0,2020.0,,,ADB,ADB,,,Thailand,Suphan Buri,Muang Suphanburi,Tha Chin,14.55819,100.0074,"Actual location unknown, currently sited at locality in link/announcement",,ADB,https://www.adb.org/projects/49366-001/main,,
254,Dlie Ya (Nhà máy điện gió Dlie Ya),Wind,Planned,100.0,2020.0,Vietnam,Consortium of Hung Bac Energy Investment and Thang Long Real Estate Investment (Liên danh Công ty Cổ phần Đầu tư năng lượng Hưng Bắc và Công ty Cổ phần Đầu tư Thương mại và Kinh doanh bất động sản Thăng Long) (Viet,,,,,Vietnam,Đắk Lắk,Krông Năng,Krong Hnang,13.05909,108.3576,"Actual location unknown, currently sited at locality in link/announcement",,Stimson database,https://daklak24h.com.vn/tin-kinh-te/47771/lap-du-an-dien-gio-quy-mo-lon-tai-huyen-krong-nang.html,,
